coroner_name,count
Miss Kirsty Gomersal,7
Miss Isobel Thistlethwaite,7
Mr Terence Carney,7
Mr Stephen Covell,7
Mr Christopher Campbell Wilkinson,7
Mr Peter Taheri,7
Ms Sophie Lomas,7
Mrs Marilyn Whittle,7
Mr John C Taylor,6
Dr Robert Hunter,6
Mr Stephen George Eccleston,6
Mrs Deborah Suzanne Rookes,6
Mrs Priya Malhotra,6
Mr Nicholas Walker,6
Mr Mark Andrew Beresford,6
Mr Matthew A Cox,6
Mr Scott Matthewson,6
Dr Anton van Dellen,6
Mr David Pojur,6
Mr Delroy Henry,6
Ms Johanna Thompson,6
Miss Sabyta Kaushal,6
Mr Heath Westerman,6
Mr Alan R Craze,6
Michael R Rose,6
Mr Ian Wade KC,6
Mr Paul John Rogers,5
Ms Joy Michelle Brown OBE,5
Mr Gareth jones,5
Miss Georgina Nolan,5
Miss Sarah Anna Middleton,5
Mr Mr P J Bennett,5
Ms Elizabeth Gray,5
Mr Nicholas Lane,5
Ms Rebecca Ollivere,5
Jane Gillespie,5
Miss Elizabeth Dudley-Jones,5
Mrs Laura May Bradford,5
Dr Peter Henry Straker,5
Ms jessica russell-mitra,5
Mr Nicholas Moss QC,5
Mr Xavier Mooyaart,5
Mrs Elizabeth Wheeler,5
Michael Spencer,5
Ms Leila Benyounes,5
Andrew McNamara,5
Mr Alan Moore,5
Mrs Eleanor Kay McGann,5
Richard Furniss,5
Miss Susan Evans,5
Mr james puzey,4
Mr Rob Turnbull,4
Mr Daniel Howe,4
Ms Katy Ainge,4
Belinda Cheney,4
Mr David Heming,4
Ms Fiona Borrill,4
Mr Peter Sigee,4
Mr Simon Brenchley,4
Richard A Hulett,4
Mrs Alison Longhorn,4
Dr Jeane Rosa Mellani,4
Mr Adam Smith,4
Miss Miss Briony Ballard,4
Dr Leslie Hamilton,4
Miss Sally Anne Robinson,4
Dr Liliane Marthe Field,4
Mr Andrew David Cousins,4
Mrs Krestina Hayes,4
Mr Alan James Blunsdon,4
Miss Sarah Jane Wood,4
Miss Sarah Clarke,4
Dr Nick Armstrong KC,4
Mr Jacques Howell,4
Miss Kerrie Burge,4
Mr Jonathan David Leach,4
"Mr Michael J C Burgess CVO, OBE",4
Miss Sophie Cartwright KC,4
Mr Harry Nathaniel Lambert,4
Miss Ana samuel,4
Mr Jonathan Dixey,4
Mr Michael Wall,4
Mrs Rosamund Rhodes-Kemp,4
Mr Gavin Knox,4
Mrs Sarah L. Whitby,4
Ms Rebecca Anne Mundy,4
Mrs Patricia Claire Morgan,4
Mr Paul Kelly,4
Mr Paul Michael Appleton,4
Ms Louise Wiltshire,4
Mr Nathanael James Hartley,4
Mr Mr Roland Wooderson,4
Mr Dewi Pritchard Jones,4
Miss Caroline Margaret Jones,3
Mr Matthew Kewley,3
Ms Jyoti Gill,3
Ms KATY THORNE KC,3
Mr Edward Steele,3
Mr Alexander Miles Frodsham,3
Gail Elliman,3
Miss Sarah Riley,3
Miss Amanda Jane Bewley,3
Mrs Deborah Rachel Lakin,3
Ms Ellie Oakley,3
Ms Marianne Johnson,3
Ms Katrina Hepburn,3
Dr Daniel Sharpstone,3
Christina Swann,3
Mrs Hannah Victoria Berry,3
Andrew Thompson,3
Claire Hammond,3
Mr Thomas Richard Geoffrey Leeper,3
Ms Sarah Huntbach,3
Mr Sheriff S Payne,3
Mr David Manknell KC,3
Mr Philip Anthony Holden,3
HHJ Mark Lucraft QC,3
Miss Karin Elizabeth Welsh,3
Ms Rebecca Margaret COBB,3
Paul O'Donnell,3
Ms Jenny Goldring,3
Miss Lorna Jane Skinner QC,3
Christopher Sutton-Mattocks,3
Ms Heather Williams,3
Philip Sharp,3
Ms Hannah Godfrey,3
Mr Thomas Crookes,3
Ms Gilva Dagmar Jane Tisshaw,3
Miss Sian Reeves,3
Mr Simon Connolly,3
Mr Edward Ramsay,3
Mr Neil Cameron,3
Mr Benjamin John Myers,3
Ms Gemma Brannigan,3
Claire Balysz,3
Mr Duncan Ritchie,3
Mr Simon Nicholas Burge,3
William R Morris,2
William Coverdale,2
Ms Fiona King,2
Ms Angharad Davies,2
Rosemary Jane Baxter,2
Ms Julie Alison Goulding,2
Mrs Jo Wharton,2
Ms Myfanwy Buckeridge,2
Sara Lewis,2
Timothy H Ratcliffe,2
Raymond Curtis,2
Wm J Armstrong OBE,2
John Woolley,2
Mr Lincoln Brookes,2
Ian Boyes,2
Dr Edward Patrick Morgan KC,2
Miss Janine Wolstenholme,2
Mr Ivan Cartwright,2
Mr Ian Christopher James Dreelan,2
Dr Murray James Spittal,2
Mr Gareth Lewis,2
Mr Edmund Gritt,2
Dr Rashid Sohail,2
Miss Jayne Wilkes,2
Miss Jessica Swift,2
Miss Kelly Elizabeth Dixon,2
Mr Bernard Richmond QC,2
Mr Anthony Mazzag,2
Mr Andrew Morse,2
Miss Lisa Judge,2
Miss Louise E Rae,2
Mr Keith Morton QC,2
David Skipp,2
Mr Simon Tait,2
Janet Napier,2
Mr Tom Stoate,2
Julian Fox,2
Angela Hodes,2
Anthony Eastwoods,2
Karon Monaghan,2
Mrs Claire Welch,2
Maria Mulrennan,2
Mrs Alison Norton,2
Mrs Emma Hillson,2
Mrs Emma Mather,2
Michael Oakley,2
Anthony Curzon,2
Ms Samantha Broadfoot,1
HHJ Keith Cutler CBE,1
HH Judge Munro QC,1
Ms Rachel Spearing,1
Ms Saba Naqshbandi,1
Ian Goldup,1
Joan Broadbridge,1
HHJ Loraine-Smith,1
J Robinson,1
Henrietta Hills QC,1
J Hamilton,1
Fiona Malek,1
Geoffrey Tomalin,1
Mrs Helen Rimmer,1
Eric Armstrong,1
David James,1
Trevor Kirkland,1
C W Malcolm Donnelly,1
Cdr. Richard Marshall RN,1
Sir Peter Thornton QC,1
Siobhan Kelly,1
Simon Ward,1
Simon Allen,1
Sian Scott Jones,1
Dame Linda Dobbs,1
Samuel James Faulks,1
Dr M D Dominic Bell,1
Elizabeth Pygott,1
Rachael Griffith,1
Dr Marc Lindsey Leeming,1
Philip Rogers,1
Dr Sam Bass,1
John Sleightholme,1
N G Gardiner,1
Dr Sean Cummings,1
Edward Solomons,1
Elaine Moloney,1
Ms Susanna Rickard,1
Neil Joseph Cronin,1
Miss Georgina Gibbs,1
Kevin Paul Sutton,1
Mr Michael Louis Sheridan Mellun,1
Mr Geoffrey M. Saul,1
Mr Ivor Collett,1
Mr Jake Taylor,1
Mr James Hargan,1
Mr John Joseph Buckley,1
Mr John Matthews,1
Mr Joseph Hart,1
Mr Martin Douglas Oldham,1
Mrs Rebecca Connell,1
Mr Nick Seán Stanage,1
Ms Anita Davies,1
Mr Paul B Matthews,1
Mrs Michaela Amy Blackmore,1
Mr Peter Anthony (Tony) Murphy,1
